species,reference_henry_mol_m3_pa,effective_dissolution_enthalpy_kj_mol,observed_net_ocean_to_air_mol,counterfactual_net_ocean_to_air_mol,temperature_driven_net_release_mol,temperature_driven_net_release_Gg,observed_ocean_uptake_Gg,counterfactual_ocean_uptake_Gg,temperature_driven_uptake_reduction_Gg,ocean_uptake_reduction_percent,observed_gross_outgassing_mol,counterfactual_gross_outgassing_mol,temperature_driven_gross_outgassing_mol,temperature_driven_gross_outgassing_Gg,gross_outgassing_acceleration_percent,observed_global_flux_regime,max_abs_mass_balance_residual_mol
CFC-11,0.00011530337786902453,-33.91094075508974,-29876075.811561424,-32684843.172128897,2808767.360567473,0.38583475478643264,4.10401678208257,4.489851536869002,0.38583475478643264,8.593485811682193,0.0,0.0,0.0,0.0,,net sink,0.000125885009765625
CFC-12,3.112159778944955e-05,-29.870910975013018,-18753408.939222027,-20250570.115514643,1497161.1762926169,0.1810262493090692,2.267530935068153,2.448557184377222,0.1810262493090692,7.393180378391379,0.0,0.0,0.0,0.0,,net sink,0.00032138824462890625
