time_s,gradient_richardson_number,kw_stratification_multiplier,CFC11_discrepancy_Gg,CFC12_discrepancy_Gg
0.0,1.0,0.7845840978967508,0.0,0.0
86400.0,1.0,0.7845840978967508,1.2215506629184926e-05,6.449828172555578e-06
172800.0,1.0,0.7845840978967508,4.6360175732170606e-05,2.453498437408558e-05
259200.0,1.0,0.7845840978967508,9.898857275418736e-05,5.251059750210416e-05
345600.0,1.0,0.7845840978967508,0.00016703404225902954,8.881888693241219e-05
432000.0,1.0,0.7845840978967508,0.00024777277411480145,0.00013207168416613094
518400.0,1.0,0.7845840978967508,0.00033879101911600605,0.00018103447069269275
604800.0,1.0,0.7845840978967508,0.00043795519320290584,0.0002346118073764103
691200.0,1.0,0.7845840978967508,0.0005433846228542225,0.00029183403710232413
777600.0,1.0,0.7845840978967508,0.0006534267205838385,0.00035184515971544664
864000.0,1.0,0.7845840978967508,0.0007666343672149671,0.0004138917723842241
950400.0,1.0,0.7845840978967508,0.0008817453417556548,0.0004773129991709272
1036800.0,1.0,0.7845840978967508,0.0009976635874211826,0.0005415313083891975
1123200.0,1.0,0.7845840978967508,0.0011134422011983979,0.0006060441640074654
1209600.0,1.0,0.7845840978967508,0.0012282679708406558,0.0006704164263407255
1296000.0,1.0,0.7845840978967508,0.0013414473205833344,0.0007342734358083349
1382400.0,1.0,0.7845840978967508,0.0014523935425324035,0.0007972947200841471
1468800.0,1.0,0.7845840978967508,0.0015606153421439646,0.0008592083392407026
1555200.0,1.0,0.7845840978967508,0.0016657062401801575,0.0009197856482242375
1641600.0,1.0,0.7845840978967508,0.001767335065354861,0.00097883658747373
1728000.0,1.0,0.7845840978967508,0.0018652376695900963,0.001036205572770217
1814400.0,1.0,0.7845840978967508,0.001959208585361686,0.0010917673511944368
1900800.0,1.0,0.7845840978967508,0.002049094837230099,0.0011454239158217227
1987200.0,1.0,0.7845840978967508,0.002134788974918961,0.0011971010327203413
2073600.0,1.0,0.7845840978967508,0.002216223477110545,0.00124674544444146
2160000.0,1.0,0.7845840978967508,0.0022933658380427497,0.001294322401580548
2246400.0,1.0,0.7845840978967508,0.002366213886875036,0.0013398133142956408
2332800.0,1.0,0.7845840978967508,0.002434791525838972,0.0013832136069759687
2419200.0,1.0,0.7845840978967508,0.0024991451456220894,0.0014245309052156128
2505600.0,1.0,0.7845840978967508,0.002559340256115314,0.001463783329807794
2592000.0,1.0,0.7845840978967508,0.0026154585193269866,0.0015009979886828353
2678400.0,1.0,0.7845840978967508,0.0026675950979159774,0.0015362096247225443
2764800.0,1.0,0.7845840978967508,0.002715856293607116,0.001569459406943895
2851200.0,1.0,0.7845840978967508,0.0027603574482029116,0.0016007938517788463
2937600.0,1.0,0.7845840978967508,0.0028012210822862004,0.0016302638623224002
3024000.0,1.0,0.7845840978967508,0.0028385752488862726,0.0016579238744695085
3110400.0,1.0,0.7845840978967508,0.002872552081379907,0.0016838310998248869
3196800.0,1.0,0.7845840978967508,0.0029032865167269266,0.001708044856153563
3283200.0,1.0,0.7845840978967508,0.0029309151768175438,0.0017306259769471752
3369600.0,1.0,0.7845840978967508,0.002955575392245949,0.001751636292425408
3456000.0,1.0,0.7845840978967508,0.0029774043542277425,0.0017711381749700695
3542400.0,1.0,0.7845840978967508,0.0029965383816689915,0.0017891941426129215
3628800.0,1.0,0.7845840978967508,0.003013112291569653,0.0018058665147681141
3715200.0,1.0,0.7845840978967508,0.0030272588620238747,0.001821217114922741
3801600.0,1.0,0.7845840978967508,0.003039108378063187,0.0018353070154765048
3888000.0,1.0,0.7845840978967508,0.0030487882514904246,0.0018481963203594704
3974400.0,1.0,0.7845840978967508,0.0030564227066742734,0.0018599439814559384
4060800.0,1.0,0.7845840978967508,0.003062132525027441,0.0018706076452287953
4147200.0,1.0,0.7845840978967508,0.003066034841577301,0.0018802435262733168
4233600.0,1.0,0.7845840978967508,0.00306824298766435,0.0018889063048338301
4320000.0,1.0,0.7845840978967508,0.003068866374377648,0.001896649045597143
4406400.0,1.0,0.7845840978967508,0.0030680104118542342,0.0019035231353302774
4492800.0,1.0,0.7845840978967508,0.003065776460049806,0.0019095782371630475
4579200.0,1.0,0.7845840978967508,0.003062261807016616,0.0019148622595278617
4665600.0,1.0,0.7845840978967508,0.0030575596711221375,0.0019194213379629004
4752000.0,1.0,0.7845840978967508,0.003051759224000698,0.0019232998281617265
4838400.0,1.0,0.7845840978967508,0.0030449456313554786,0.001926540308810682
4924800.0,1.0,0.7845840978967508,0.0030372001090276297,0.0019291835929046977
5011200.0,1.0,0.7845840978967508,0.003028599992017472,0.001931268746363603
5097600.0,1.0,0.7845840978967508,0.003019218814388821,0.001932833112891363
5184000.0,1.0,0.7845840978967508,0.0030091263989248146,0.0019339123451163592
